Dataset,Modelo,Explicador,Jaccard,Overlap@10,Spearman,Jaccard Std
CiteSeer,GAT,GNNExplainer,0.3417612344082932,4.9833333333333325,-0.014880952380952389,0.08280647241952717
CiteSeer,GAT,GraphLIME,0.6944876459969339,7.5666666666666655,0.7102453102453101,0.3109952867997011
CiteSeer,GCN,GNNExplainer,0.40773134101307473,5.4833333333333325,-0.1376190476190476,0.20463609112745706
CiteSeer,GCN,GraphLIME,0.6557187151227399,7.366666666666665,0.6056565656565656,0.32178671512831947
CiteSeer,GraphSAGE,GNNExplainer,0.45219233380998086,6.066666666666668,0.03797619047619052,0.14258312954284005
CiteSeer,GraphSAGE,GraphLIME,0.5618994209551484,6.466666666666667,0.5739177489177488,0.35203773099550145
Cora,GAT,GNNExplainer,0.5795270905565023,7.099999999999999,0.12913059163059162,0.20558975293095094
Cora,GAT,GraphLIME,0.7352503089732192,7.9833333333333325,0.7866125541125542,0.32013360952703246
Cora,GCN,GNNExplainer,0.7037518037518038,8.15,0.2337698412698413,0.14832956569187486
Cora,GCN,GraphLIME,0.5238539911527528,6.283333333333333,0.633095238095238,0.3125595296304156
Cora,GraphSAGE,GNNExplainer,0.6797799422799422,7.900000000000001,0.2711399711399711,0.20284562735633885
Cora,GraphSAGE,GraphLIME,0.5038148584588213,5.95,0.4791269841269841,0.34012827946480195
PubMed,GAT,GNNExplainer,0.22872373870825885,3.5166666666666657,-0.07853174603174605,0.13258362536627769
PubMed,GAT,GraphLIME,0.38629016465703775,4.716666666666667,0.45460317460317456,0.35615276380095195
PubMed,GCN,GNNExplainer,0.2650572667213534,4.016666666666667,-0.06396825396825397,0.11888133889078094
PubMed,GCN,GraphLIME,0.5022123287216166,6.066666666666666,0.47666666666666674,0.2679666856176061
PubMed,GraphSAGE,GNNExplainer,0.28256749843437146,4.133333333333334,-0.008690476190476191,0.16002345456737366
PubMed,GraphSAGE,GraphLIME,0.5018915910943774,5.883333333333334,0.44722222222222224,0.35996941789447656
